PA,0-20,20-65,above65,Tot_Pop,Rank,%(Young),%(Elderly),Old_Age_Support_Ratio
Bedok,47950,172900,58020,278870,1,17.19,20.81,3
Tampines,49440,172260,43910,265610,2,18.61,16.53,3.9
Jurong West,51420,169100,38000,258520,3,19.89,14.7,4.5
Sengkang,61850,163320,27880,253050,4,24.44,11.02,5.9
Woodlands,52240,171230,29250,252720,5,20.67,11.57,5.9
Hougang,39320,147190,41210,227720,6,17.27,18.1,3.6
Yishun,44570,145440,32760,222770,7,20.01,14.71,4.4
Choa Chu Kang,38040,129170,23250,190460,8,19.97,12.21,5.6
Punggol,52520,117690,16040,186250,9,28.2,8.61,7.3
Bukit Batok,32660,107190,25460,165310,10,19.76,15.4,4.2
Ang Mo Kio,25290,98010,38140,161440,11,15.67,23.62,2.6
Bukit Merah,24390,90400,34980,149770,12,16.28,23.36,2.6
Pasir Ris,27690,99940,18720,146350,13,18.92,12.79,5.3
Bukit Panjang,27160,90020,20360,137540,14,19.75,14.8,4.4
Toa Payoh,21710,79330,27670,128710,15,16.87,21.5,2.9
Serangoon,19510,73940,24700,118150,16,16.51,20.91,3
Geylang,16960,69540,23020,109520,17,15.49,21.02,3
Sembawang,25900,71740,10720,108360,18,23.9,9.89,6.7
Kallang,16020,62410,22390,100820,19,15.89,22.21,2.8
Queenstown,16060,59190,21540,96790,20,16.59,22.25,2.7
Clementi,17600,56310,19860,93770,21,18.77,21.18,2.8
Bishan,14920,53350,17600,85870,22,17.38,20.5,3
Bukit Timah,18520,47000,13690,79210,23,23.38,17.28,3.4
Jurong East,12060,48050,16490,76600,24,15.74,21.53,2.9
Novena,10310,31190,9110,50610,25,20.37,18,3.4
Marine Parade,9040,27570,9450,46060,26,19.63,20.52,2.9
Tanglin,5450,14210,3390,23050,27,23.64,14.71,4.2
Outram,2410,10220,4780,17410,28,13.84,27.46,2.1
Rochor,1630,8150,2840,12620,29,12.92,22.5,2.9
River Valley,2380,7380,1400,11160,30,21.33,12.54,5.3
Newton,2050,5560,1160,8770,31,23.38,13.23,4.8
Downtown Core,340,2840,330,3510,32,9.69,9.4,8.6
Singapore River,850,2380,260,3490,33,24.36,7.45,9.2
Southern Islands,540,1470,180,2190,34,24.66,8.22,8.2
Mandai,400,1380,290,2070,35,19.32,14.01,4.8
Changi,480,1080,180,1740,36,27.59,10.34,6
Orchard,210,480,120,810,37,25.93,14.81,4
Sungei Kadut,90,420,150,660,38,13.64,22.73,2.8
Western Water Catchment,130,460,20,610,39,21.31,3.28,23
Museum,50,390,10,450,40,11.11,2.22,39
Seletar,60,170,10,240,41,25,4.17,17
Paya Lebar,0,0,0,0,42,,,
Simpang,0,0,0,0,42,,,
Marina East,0,0,0,0,42,,,
Tuas,0,0,0,0,42,,,
Marina South,0,0,0,0,42,,,
Straits View,0,0,0,0,42,,,
Central Water Catchment,0,0,0,0,42,,,
North-Eastern Islands,0,0,0,0,42,,,
Lim Chu Kang,0,0,0,0,42,,,
Tengah,0,0,0,0,42,,,
Western Islands,0,0,0,0,42,,,
Boon Lay,0,0,0,0,42,,,
Pioneer,0,0,0,0,42,,,
Changi Bay,0,0,0,0,42,,,
